	community	roi	community_id
71	ContB	PFClv_2	10
72	ContC	pCun_1	11
73	ContC	pCun_2	11
74	ContC	Cingp_1	11
75	DefaultA	IPL_1	12
76	DefaultA	PFCd_1	12
77	DefaultA	PCC_1	12
78	DefaultA	PCC_2	12
79	DefaultA	PCC_3	12
80	DefaultA	PFCm_1	12
81	DefaultA	PFCm_2	12
82	DefaultA	PFCm_3	12
83	DefaultB	Temp_1	13
84	DefaultB	Temp_2	13
85	DefaultB	Temp_3	13
86	DefaultB	Temp_4	13
87	DefaultB	IPL_1	13
88	DefaultB	PFCd_1	13
89	DefaultB	PFCd_2	13
90	DefaultB	PFCd_3	13
91	DefaultB	PFCd_4	13
92	DefaultB	PFCv_1	13
93	DefaultB	PFCv_2	13
94	DefaultB	PFCv_3	13
95	DefaultB	PFCv_4	13
96	DefaultC	IPL_1	14
97	DefaultC	Rsp_1	14
98	DefaultC	PHC_1	14
99	TempPar	1	15
100	TempPar	2	15
101	VisCent	ExStr_1	0
102	VisCent	ExStr_2	0
103	VisCent	ExStr_3	0
104	VisCent	ExStr_4	0
105	VisCent	ExStr_5	0
106	VisCent	ExStr_6	0
107	VisPeri	ExStrSup_1	1
108	VisPeri	ExStrSup_2	1
109	VisPeri	ExStrSup_3	1
110	VisPeri	ExStrSup_4	1
111	VisPeri	ExStrSup_5	1
112	VisPeri	ExStrSup_6	1
113	SomMotA	1	2
114	SomMotA	2	2
115	SomMotA	3	2
116	SomMotA	4	2
117	SomMotA	5	2
118	SomMotA	6	2
119	SomMotA	7	2
120	SomMotA	8	2
121	SomMotA	9	2
122	SomMotA	10	2
123	SomMotA	11	2
124	SomMotB	S2_1	3
125	SomMotB	S2_2	3
126	SomMotB	S2_3	3
127	SomMotB	S2_4	3
128	SomMotB	S2_5	3
129	SomMotB	S2_6	3
130	SomMotB	S2_7	3
131	DorsAttnA	TempOcc_1	4
132	DorsAttnA	TempOcc_2	4
133	DorsAttnA	SPL_1	4
134	DorsAttnA	SPL_2	4
135	DorsAttnA	SPL_3	4
136	DorsAttnA	SPL_4	4
137	DorsAttnB	PostC_1	5
138	DorsAttnB	PostC_2	5
139	DorsAttnB	PostC_3	5
140	DorsAttnB	PostC_4	5
141	DorsAttnB	FEF_1	5
142	SalVentAttnA	ParOper_1	6
143	SalVentAttnA	PrC_1	6
144	SalVentAttnA	Ins_1	6
145	SalVentAttnA	Ins_2	6
146	SalVentAttnA	Ins_3	6
147	SalVentAttnA	FrMed_1	6
148	SalVentAttnA	FrMed_2	6
149	SalVentAttnA	FrMed_3	6
150	SalVentAttnA	FrMed_4	6
151	SalVentAttnB	IPL_1	7
152	SalVentAttnB	PFCl_1	7
153	SalVentAttnB	PFCl_2	7
154	SalVentAttnB	PFCv_1	7
155	SalVentAttnB	PFCv_2	7
156	SalVentAttnB	PFCmp_1	7
157	Limbic	OFC_1	8
158	Limbic	OFC_2	8
159	Limbic	OFC_3	8
160	Limbic	OFC_4	8
161	Limbic	TempPole_1	8
162	Limbic	TempPole_2	8
163	Limbic	TempPole_3	8
164	Limbic	TempPole_4	8
165	ContA	IPS_1	9
166	ContA	IPS_2	9
167	ContA	PFCd_1	9
168	ContA	PFCl_1	9
169	ContA	PFCl_2	9
170	ContA	Cinga_1	9
171	ContB	Temp_1	10
172	ContB	Temp_2	10
173	ContB	IPL_1	10
174	ContB	IPL_2	10
175	ContB	PFCld_1	10
176	ContB	PFCld_2	10
177	ContB	PFClv_1	10
178	ContB	PFClv_2	10
179	ContB	PFCmp_1	10
180	ContB	PFCmp_2	10
181	ContC	pCun_1	11
182	ContC	pCun_2	11
183	ContC	Cingp_1	11
184	DefaultA	IPL_1	12
185	DefaultA	PFCd_1	12
186	DefaultA	PCC_1	12
187	DefaultA	PFCm_1	12
188	DefaultA	PFCm_2	12
189	DefaultA	PFCm_3	12
190	DefaultB	Temp_1	13
191	DefaultB	AntTemp_1	13
192	DefaultB	PFCd_1	13
193	DefaultB	PFCv_1	13
194	DefaultC	IPL_1	14
195	DefaultC	Rsp_1	14
196	DefaultC	PHC_1	14
197	TempPar	1	15
198	TempPar	2	15
199	TempPar	3	15
200	TempPar	4	15
